Название;Цена;Ссылка
Холодный чёрный чай Святой источник, чёрная смородина;119;https://samokat.ru/product/0a185893-dae7-11ee-ae7a-08c0eb320147
Лимонад Боржоми, с соком, аджарский мандарин;139;https://samokat.ru/product/9fefd350-5bc0-11ee-b10a-08c0eb31fffb
Лимонад Боржоми, с соком, груша;139;https://samokat.ru/product/93fba0be-5bc0-11ee-b10a-08c0eb31fffb
Минеральная вода Borjomi, с газом, в стекле;149;https://samokat.ru/product/1c06d3f2-fa98-11e8-80c5-0cc47a817925
Вода Святой Источник, лимон, без газа;99;https://samokat.ru/product/57472dd8-b968-11eb-85ab-1c34dae33151
Минеральная вода Borjomi, с газом;199;https://samokat.ru/product/b7a9ea0c-c4c5-11e9-bb93-ac1f6b6e023e
Вода Святой Источник, без газа;339;https://samokat.ru/product/ba0fc44f-9bff-11ea-bc7d-0050560306e1
Вода Самокат, с газом;57;https://samokat.ru/product/7972fb76-5a19-11ef-8861-08c0eb32014b
Вода Самокат, с газом;37;https://samokat.ru/product/73730b57-5a19-11ef-8861-08c0eb32014b
Лечебная вода Самокат Теберда-4, с газом;105;https://samokat.ru/product/2ac08280-0370-11ed-885a-08c0eb32014b
Вода Самокат, без газа;37;https://samokat.ru/product/73730717-5a19-11ef-8861-08c0eb32014b
Вода Самокат, без газа;57;https://samokat.ru/product/73730d8c-5a19-11ef-8861-08c0eb32014b
Вода Самокат, детская, без газа;135;https://samokat.ru/product/9c92fe88-a406-11ee-ae7a-08c0eb320147
Вода Самокат, детская, без газа;59;https://samokat.ru/product/c0b6a5f6-a406-11ee-ae7a-08c0eb320147
Минеральная вода Borjomi, с газом, в стекле;149;https://samokat.ru/product/1c06d3f2-fa98-11e8-80c5-0cc47a817925
Минеральная вода Borjomi, с газом;169;https://samokat.ru/product/1c06d3f1-fa98-11e8-80c5-0cc47a817925
Минеральная вода Borjomi, с газом;199;https://samokat.ru/product/b7a9ea0c-c4c5-11e9-bb93-ac1f6b6e023e
Вода Самокат, детская, без газа;135;https://samokat.ru/product/9c92fe88-a406-11ee-ae7a-08c0eb320147
Вода Святой Источник, без газа;154;https://samokat.ru/product/c09a2ca1-e676-11e8-80c5-0cc47a817925
Вода Сенежская, без газа;135;https://samokat.ru/product/8e3fa354-7591-11e9-80c5-0cc47a817925
Вода Сенежская, без газа;85;https://samokat.ru/product/66943df8-9b62-11ea-bc7d-0050560306e1
Вода Калинов родничок, для детей, с рождения, без газа;149;https://samokat.ru/product/34f37331-093c-11eb-8599-1c34dae33151
Вода Шишкин лес, без газа;155;https://samokat.ru/product/610fbed5-7670-11e9-80c5-0cc47a817925
Вода Самокат, детская, без газа;59;https://samokat.ru/product/c0b6a5f6-a406-11ee-ae7a-08c0eb320147
Вода Самокат, без газа;37;https://samokat.ru/product/73730717-5a19-11ef-8861-08c0eb32014b
Вода Самокат, без газа;57;https://samokat.ru/product/73730d8c-5a19-11ef-8861-08c0eb32014b
Вода Самокат, без газа;155;https://samokat.ru/product/7972fdae-5a19-11ef-8861-08c0eb32014b
Вода Aqua Minerale, без газа;105;https://samokat.ru/product/f1162672-ae1b-11e9-bb93-ac1f6b6e023e
Вода Святой Источник, без газа;67;https://samokat.ru/product/c09a2ca7-e676-11e8-80c5-0cc47a817925
Вода Святой источник, без газа;43;https://samokat.ru/product/b1464bbe-ef08-11e8-80c5-0cc47a817925
Вода Святой Источник, без газа;339;https://samokat.ru/product/ba0fc44f-9bff-11ea-bc7d-0050560306e1
Вода Святой Источник, Спортик, без газа;49;https://samokat.ru/product/6305be70-612a-11e9-80c5-0cc47a817925
Вода Сенежская, без газа;38;https://samokat.ru/product/8e3fa34f-7591-11e9-80c5-0cc47a817925
Вода Сенежская, без газа;55;https://samokat.ru/product/8e3fa352-7591-11e9-80c5-0cc47a817925
Вода Шишкин лес, без газа;95;https://samokat.ru/product/1c06d3ea-fa98-11e8-80c5-0cc47a817925
Вода Шишкин лес, без газа;75;https://samokat.ru/product/1c06d3e9-fa98-11e8-80c5-0cc47a817925
Вода Шишкин лес, без газа;329;https://samokat.ru/product/c16a1f85-470d-11ee-b971-08c0eb32008b
Вода Nestle Pure Life, без газа;105;https://samokat.ru/product/99bc83ad-9b66-11ea-bc7d-0050560306e1
Минеральная вода Легенда гор Архыз, без газа;69;https://samokat.ru/product/5af11fa8-cc2c-11ea-b7de-0050560306e1
Вода Fahrenheit Alkaline, без газа;119;https://samokat.ru/product/21e4e611-d547-11ed-b970-08c0eb32008b
Вода Родники Лаго-Наки, без газа;69;https://samokat.ru/product/8fc79768-b7ed-11ef-b973-08c0eb32008b
Вода Самокат, с газом;37;https://samokat.ru/product/73730b57-5a19-11ef-8861-08c0eb32014b
Вода Самокат, с газом;57;https://samokat.ru/product/7972fb76-5a19-11ef-8861-08c0eb32014b
Вода Святой Источник, с газом;67;https://samokat.ru/product/6c4def05-2df0-11e9-80c5-0cc47a817925
Вода Сенежская, с газом;55;https://samokat.ru/product/8e3fa353-7591-11e9-80c5-0cc47a817925
Вода Шишкин лес, с газом;75;https://samokat.ru/product/1c06d3f0-fa98-11e8-80c5-0cc47a817925
Минеральная вода Легенда гор Архыз, с газом;69;https://samokat.ru/product/61416fe5-cc2c-11ea-b7de-0050560306e1
Лечебно-столовая вода Псыж, с газом;69;https://samokat.ru/product/befd35f5-0a3a-11eb-8599-1c34dae33151
Вода Родники Лаго-Наки, с газом;69;https://samokat.ru/product/89918194-b7ed-11ef-b973-08c0eb32008b
Лечебно-столовая вода Новокумская, с газом;79;https://samokat.ru/product/9f47b689-b7ed-11ef-b973-08c0eb32008b
Лечебная вода Самокат Теберда-4, с газом;105;https://samokat.ru/product/2ac08280-0370-11ed-885a-08c0eb32014b
Минеральная вода Самокат, с газом;99;https://samokat.ru/product/15e5c1f2-2a3a-11ef-b973-08c0eb32008b
Минеральная вода Borjomi, с газом;169;https://samokat.ru/product/1c06d3f1-fa98-11e8-80c5-0cc47a817925
Минеральная вода Borjomi, с газом, в стекле;149;https://samokat.ru/product/1c06d3f2-fa98-11e8-80c5-0cc47a817925
Минеральная вода Borjomi, с газом;199;https://samokat.ru/product/b7a9ea0c-c4c5-11e9-bb93-ac1f6b6e023e
Минеральная вода Архыз Легенда гор, Спорт, без газа;64;https://samokat.ru/product/2bb7df6e-0a38-11eb-8599-1c34dae33151
Лечебно-столовая вода Псыж, с газом;69;https://samokat.ru/product/befd35f5-0a3a-11eb-8599-1c34dae33151
Вода Святой Источник, лимон, без газа;99;https://samokat.ru/product/57472dd8-b968-11eb-85ab-1c34dae33151
Напиток Святой Источник, с соком, лимон и цитрус, с газом;109;https://samokat.ru/product/bd7045d1-32aa-11ee-ae78-08c0eb320147
Вода Абрау-Дюрсо 4 воды, виноград, с газом;169;https://samokat.ru/product/7a0f1b4e-991c-11eb-85a9-1c34dae33151
Напиток Lifeline Intellectual, витаминизированный, арбуз и яблоко, без газа;95;https://samokat.ru/product/4d4c3a81-1918-11eb-8599-1c34dae33151
Вода Самокат, детская, без газа;59;https://samokat.ru/product/c0b6a5f6-a406-11ee-ae7a-08c0eb320147
Вода Самокат, детская, без газа;135;https://samokat.ru/product/9c92fe88-a406-11ee-ae7a-08c0eb320147
Вода Святой Источник, Спортик, без газа;49;https://samokat.ru/product/6305be70-612a-11e9-80c5-0cc47a817925
Вода Калинов родничок, для детей, с рождения, без газа;149;https://samokat.ru/product/34f37331-093c-11eb-8599-1c34dae33151
